2,16478245514280079233,3.653571844100952
2,10222582482735931158,3.65164852142334
2,8231406056729738192,3.713176727294922
2,4017612882003177843,3.7184412479400635
2,12952313754677867683,2.689260482788086
2,4862378093405730888,4.578384637832642
2,6336499984767370956,2.8989200592041016
2,3680684145324992566,4.651384115219116
2,12712669182135860735,3.0086495876312256
3,12712669182135860735,3.7097418308258057,1
3,4017612882003177843,5.113138198852539,1
3,12952313754677867683,4.856537103652954,1
3,16478245514280079233,3.174046516418457,1
3,4480187928797445268,5.134189128875732,1
3,10222582482735931158,4.269114255905151,1
3,8231406056729738192,3.2067372798919678,1
3,4862378093405730888,4.606359481811523,1
3,3680684145324992566,4.512828350067139,1
3,6336499984767370956,3.8291337490081787,1
4,12952313754677867683,4.191153526306152,1
4,4480187928797445268,3.6726205348968506,1
4,4862378093405730888,4.883389949798584,1
4,12712669182135860735,3.7066471576690674,1
4,3680684145324992566,3.7420148849487305,1
4,8231406056729738192,2.17132306098938,1
4,10222582482735931158,3.9501254558563232,1
4,16478245514280079233,2.1673128604888916,1
4,6336499984767370956,3.437809467315674,1
4,4017612882003177843,3.793895721435547,1
5,12952313754677867683,3.1180801391601562,1
5,8231406056729738192,3.7017874717712402,1
5,16478245514280079233,5.185336351394653,1
5,4862378093405730888,2.951911449432373,1
5,12712669182135860735,3.4749183654785156,1
5,10222582482735931158,2.838221788406372,1
5,4017612882003177843,4.382395505905151,1
5,4480187928797445268,4.638453483581543,1
5,3680684145324992566,2.870321273803711,1
5,6336499984767370956,5.063447952270508,1
6,3680684145324992566,4.1134192943573,1
6,10222582482735931158,4.3237879276275635,1
6,4017612882003177843,4.360478401184082,1
6,12712669182135860735,4.6257312297821045,1
6,4862378093405730888,4.269789695739746,1
6,8231406056729738192,2.6202914714813232,1
6,16478245514280079233,2.744713068008423,1
6,4480187928797445268,4.497118711471558,1
6,12952313754677867683,4.281206846237183,1
6,6336499984767370956,4.231908559799194,1
7,4017612882003177843,5.37821102142334,1
7,10222582482735931158,5.513880729675293,1
7,16478245514280079233,3.5759425163269043,1
7,4480187928797445268,5.262795925140381,1
7,8231406056729738192,3.19545578956604,1
7,12952313754677867683,7.120236158370972,0
7,12712669182135860735,5.45686936378479,1
7,4862378093405730888,6.074835777282715,0
7,3680684145324992566,6.336980581283569,0
7,6336499984767370956,5.083394765853882,1
8,16478245514280079233,3.0475807189941406,1
8,10222582482735931158,3.3866331577301025,1
8,6336499984767370956,4.364547967910767,1
8,4862378093405730888,3.1887238025665283,1
8,12952313754677867683,4.2896130084991455,1
8,12712669182135860735,3.447129249572754,1
8,3680684145324992566,3.4833896160125732,1
8,4480187928797445268,4.030807971954346,1
8,8231406056729738192,3.1302099227905273,1
8,4017612882003177843,3.216326951980591,1
9,12952313754677867683,2.1713619232177734,1
9,3680684145324992566,2.6907706260681152,1
9,4862378093405730888,2.9838955402374268,1
9,4017612882003177843,2.959712505340576,1
9,6336499984767370956,2.6559336185455322,1
9,10222582482735931158,3.4860284328460693,1
9,16478245514280079233,2.718496799468994,1
9,4480187928797445268,2.672715425491333,1
9,12712669182135860735,3.1189591884613037,1
9,8231406056729738192,2.829704999923706,1
10,6336499984767370956,4.135127544403076,1
10,8231406056729738192,3.484009265899658,1
10,3680684145324992566,3.996772050857544,1
10,4480187928797445268,4.654705286026001,1
10,4017612882003177843,3.3688299655914307,1
10,4862378093405730888,3.5928308963775635,1
10,16478245514280079233,3.8427107334136963,1
10,12712669182135860735,2.2948176860809326,1
10,10222582482735931158,2.437657594680786,1
10,12952313754677867683,4.345845937728882,1
1,2817802723851389944,2.412306785583496
1,10395503961203721944,1.6161370277404785
1,1443294473442078479,1.9806218147277832
1,5475171297966554280,1.7492575645446777
1,17146168950227127544,1.7284903526306152
1,13366130253201852449,1.8826253414154053
1,16810234070096369394,1.9982538223266602
